PDB_ID	H_chain_ID	L_chain_ID	Ag_chain_ID(s)	Affinity_KD(nM)	Affinity_method	Affinity_temp(K)	Remark
7ri2	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7rk1	C	N.A.	A	40.03	BLI	295	N.A.
7rk2	D	N.A.	A	2.45	BLI	295	N.A.
7rks	H	L	R	N.A.	N.A.	N.A.	N.A.
7rkv	E	F	A	N.A.	N.A.	N.A.	N.A.
7rnn	C	N.A.	D	<0.2	SPR	N.A.	N.A.
7rp0	A	B	C	N.A.	N.A.	N.A.	N.A.
7rp2	H	I	A	N.A.	N.A.	N.A.	N.A.
7rp3	H	I	A	N.A.	N.A.	N.A.	N.A.
7rq6	H	L	A	55.2	SPR	298	N.A.
7rr0	B	C	A	0.25	BLI	298	N.A.
7rsn	H	L	A	N.A.	N.A.	N.A.	N.A.
7rso	H	L	A	N.A.	N.A.	N.A.	N.A.
7ru3	E	F	B	257	SPR	298	N.A.
7ru4	H	L	A	257	SPR	298	N.A.
7ru5	H	L	A	1.71	SPR	298	N.A.
7ru8	H	L	C	1.71	SPR	298	N.A.
7rw2	H	L	A	6.94	SPR	298	N.A.
7rxc	H	L	B	N.A.	N.A.	N.A.	N.A.
7rxc	N	N.A.	B;K	N.A.	N.A.	N.A.	N.A.
7rxd	H	L	B	N.A.	N.A.	N.A.	N.A.
7rxd	N	N.A.	R	N.A.	N.A.	N.A.	N.A.
7rxi	H	L	A	0.00377	SPR	298	important KD data paper
7rxj	H	L	I	0.00278	SPR	298	N.A.
7rxl	H	L	E	0.36	SPR	298	N.A.
7rxp	H	L	A	0.0291	SPR	298	N.A.
7s07	H	L	A;B	0.46	BLI	N.A.	Ab-gH/gL KD = 0.03 nM
7s07	X	Y	A;B	2.05	BLI	N.A.	Ab-gH/gL KD = 1.16 nM
7s0b	C	D	E	2.98	BLI	N.A.	N.A.
7s0c	H	L	A	<0.001	BLI	N.A.	N.A.
7s0d	H	L	C	0.00328	BLI	N.A.	N.A.
7s0e	H	L	A	2.15	BLI	N.A.	N.A.
7s0x	H	L	E	0.0116	SPR	298	N.A.
7s11	H	L	C	47.2	SPR	310	N.A.
7s13	H	L	C;D	<0.01	SPR	310	N.A.
7s1b	H	L	A	0.21	BLI	N.A.	Ab-gH/gL KD = 0.32 nM
7s1b	X	Y	A;B	2.05	BLI	N.A.	Ab-gH/gL KD = 1.16 nM
7s2r	B	N.A.	A	69	SPR	N.A.	N.A.
7s2s	C	N.A.	B	25	SPR	N.A.	N.A.
7s4s	H	L	A	2.1	BLI	N.A.	N.A.
7s5p	H	L	A	N.A.	N.A.	N.A.	N.A.
7s5q	B	C	A	N.A.	N.A.	N.A.	N.A.
7s5q	H	L	A	N.A.	N.A.	N.A.	N.A.
7s5r	B	C	A	N.A.	N.A.	N.A.	N.A.
7s5r	H	L	A	N.A.	N.A.	N.A.	N.A.
7s6c	E	G	A;B	N.A.	N.A.	N.A.	N.A.
7s6d	D	F	A;B	N.A.	N.A.	N.A.	N.A.
7s6j	H	L	A	N.A.	BLI	N.A.	N.A.
7s6k	H	L	A;E	N.A.	BLI	N.A.	N.A.
7s6l	H	L	A	N.A.	BLI	N.A.	N.A.
7s7i	W	X	E	N.A.	N.A.	N.A.	N.A.
7s7r	B	N.A.	A	26.25	BLI	N.A.	important KD data paper
7s8h	B	C	A	N.A.	N.A.	N.A.	N.A.
7s8h	H	L	a	N.A.	N.A.	N.A.	N.A.
7sa6	H	L	A	N.A.	N.A.	N.A.	N.A.
7sai	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7saj	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sak	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sbd	H	L	C	370	BLI	298	N.A.
7sbg	H	L	C	370	BLI	298	N.A.
7sbu	H	L	A	N.A.	N.A.	N.A.	N.A.
7sbz	H	L	C	N.A.	N.A.	N.A.	N.A.
7sc1	H	L	A	N.A.	N.A.	N.A.	N.A.
7sd3	K	N	B	N.A.	N.A.	N.A.	N.A.
7sd5	H	L	A	0.00452	SPR	298	important KD data paper
7seg	H	L	C	24.5	SPR	N.A.	KD for RO7297089-CD16
7sem	B	C	F	N.A.	N.A.	N.A.	N.A.
7sfv	M	N	B	N.A.	N.A.	N.A.	N.A.
7sfw	M	N	B	N.A.	N.A.	N.A.	N.A.
7sg4	H	L	A	<0.1	SPR	N.A.	N.A.
7sht	H	L	B	0.581	BLI	N.A.	N.A.
7shu	E	F	B	0.95	BLI	N.A.	N.A.
7shy	C	D	A	2.02	BLI	N.A.	N.A.
7shz	C	D	A	0.166	BLI	N.A.	N.A.
7si0	C	D	A	1.86	BLI	N.A.	N.A.
7si2	H	L	A	0.000782	SPR	298	N.A.
7sj0	B	L	A	N.A.	N.A.	N.A.	N.A.
7sjn	H	L	A	118	SPR	298	N.A.
7sjo	H	L	A	N.A.	N.A.	N.A.	N.A.
7sk3	F	E	A	N.A.	N.A.	N.A.	N.A.
7sk3	D	C	A;B	N.A.	N.A.	N.A.	N.A.
7sk4	F	E	A	N.A.	N.A.	N.A.	N.A.
7sk4	D	C	A;B	N.A.	N.A.	N.A.	N.A.
7sk5	F	E	A	N.A.	N.A.	N.A.	N.A.
7sk6	F	E	A	N.A.	N.A.	N.A.	N.A.
7sk8	F	E	A	N.A.	N.A.	N.A.	N.A.
7sk8	D	C	A;B	N.A.	N.A.	N.A.	N.A.
7sk9	F	E	A	N.A.	N.A.	N.A.	N.A.
7sl8	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sl9	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sla	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sn2	H	L	A	0.656	BLI	N.A.	N.A.
7sn3	H	L	C	0.656	BLI	N.A.	N.A.
7so5	H	L	A	0.593	BLI	298	N.A.
7so7	H	L	A	0.259	BLI	298	N.A.
7so9	C	B	A	N.A.	N.A.	N.A.	N.A.
7so9	H	G	A;F	N.A.	N.A.	N.A.	N.A.
7soa	H	L	A	N.A.	N.A.	N.A.	N.A.
7sob	G	I	A	N.A.	N.A.	N.A.	N.A.
7sob	C	B	A;D	N.A.	N.A.	N.A.	N.A.
7soc	H	L	A	N.A.	N.A.	N.A.	N.A.
7sod	H	L	A	N.A.	N.A.	N.A.	N.A.
7sp6	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sp6	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sp7	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sp7	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sp8	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sp8	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sp9	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sp9	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7spa	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7spa	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sq1	H	L	E	N.A.	N.A.	N.A.	N.A.
7sqp	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sqw	A	B	C	N.A.	N.A.	N.A.	N.A.
7sr0	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sr3	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sr4	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7sr5	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7srk	B	N.A.	A;C	N.A.	N.A.	N.A.	N.A.
7srs	H	L	C	N.A.	N.A.	N.A.	N.A.
7srs	Q	P	R	N.A.	N.A.	N.A.	N.A.
7ssz	E	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7st5	H	L	A	0.0541	SPR	N.A.	N.A.
7str	H	L	C	N.A.	N.A.	N.A.	N.A.
7sts	H	L	C	N.A.	N.A.	N.A.	N.A.
7stz	H	L	C	N.A.	N.A.	N.A.	N.A.
7su0	H	L	C	3.5	SPR	310	N.A.
7su1	H	L	C	25	SPR	310	N.A.
7sue	H	L	C	N.A.	N.A.	N.A.	N.A.
7swd	J	K	A;C;E	N.A.	N.A.	N.A.	N.A.
7swd	G	N.A.	A;F	N.A.	N.A.	N.A.	N.A.
7swn	H	L	A	53	BLI	N.A.	N.A.
7swo	H	L	A	3	BLI	N.A.	N.A.
7swp	H	L	A	57	BLI	N.A.	N.A.
7sww	H	L	A	N.A.	N.A.	N.A.	N.A.
7swx	H	L	A	N.A.	N.A.	N.A.	N.A.
7sx6	H	L	G	N.A.	N.A.	N.A.	N.A.
7sx7	H	L	G	N.A.	N.A.	N.A.	N.A.
7syy	H	L	A	N.A.	N.A.	N.A.	N.A.
7syz	H	L	A	N.A.	N.A.	N.A.	N.A.
7t01	H	L	A	21.8	BLI	N.A.	N.A.
