PDB_ID	H_chain_ID	L_chain_ID	Ag_chain_ID(s)	Affinity_KD(nM)	Affinity_method	Affinity_temp(K)	Remark
7uop	H	L	A	7.5	BLI	303	important KD data paper
7uot	O	P	a;b	N.A.	N.A.	N.A.	N.A.
7uot	H	L	A;B;C	N.A.	N.A.	N.A.	N.A.
7uov	H	L	A	N.A.	N.A.	N.A.	N.A.
7uov	O	P	a;b	N.A.	N.A.	N.A.	N.A.
7uow	H	L	A	6.79	BLI	N.A.	KD is geometric mean of two measurements
7up9	H	L	G	11.1	BLI	303	N.A.
7upa	H	L	A	<0.02	BLI	303	N.A.
7upb	H	L	G	15	BLI	303	N.A.
7upd	H	L	D	22.6	BLI	303	N.A.
7upk	H	L	B;D	2.3	BLI	303	N.A.
7upl	F	I	A	0.22	electrochemiluminescence multiplex assay	N.A.	N.A.
7upm	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7upw	H	L	C	N.A.	N.A.	N.A.	N.A.
7upx	H	L	A	N.A.	N.A.	N.A.	N.A.
7upy	H	L	B	N.A.	N.A.	N.A.	N.A.
7ur4	H	L	C	N.A.	N.A.	N.A.	N.A.
7ura	H	L	A	N.A.	N.A.	N.A.	N.A.
7urc	H	L	A	N.A.	N.A.	N.A.	N.A.
7urd	H	L	A	N.A.	N.A.	N.A.	N.A.
7ure	H	L	A	N.A.	N.A.	N.A.	N.A.
7urf	O	P	A	N.A.	N.A.	N.A.	N.A.
7urq	H	L	A	2.5	BLI	N.A.	N.A.
7urs	H	L	A	2.5	BLI	N.A.	N.A.
7urv	D	N.A.	C	4.5	SPR	N.A.	N.A.
7urx	H	L	C	26.9	SPR	N.A.	N.A.
7usl	H	L	C	N.A.	N.A.	N.A.	N.A.
7ust	B	N.A.	A	0.81	BLI	298	important KD data paper
7usv	C	N.A.	A	0.12	BLI	298	N.A.
7uvf	H	L	A	5	SPR	292	N.A.
7uvh	A	B	C	1.88	BLI	298	important KD data paper
7uvi	A	B	C	6.83	BLI	298	N.A.
7uvo	A	B	C	0.749	BLI	298	N.A.
7uvq	C	B	A	8.9	BLI	298	N.A.
7uvq	D	E	A	2.76	BLI	298	N.A.
7uvs	A	B	C	0.247	BLI	298	N.A.
7uxl	A	B	R	0.37	BLI	N.A.	important KD data paper
7uxl	F	E	R	3.9	BLI	N.A.	N.A.
7uz4	H	L	A	0.09	SPR	N.A.	N.A.
7uz5	H	L	A	159	SPR	N.A.	N.A.
7uz6	H	L	A	N.A.	N.A.	N.A.	N.A.
7uz7	H	L	A	N.A.	N.A.	N.A.	N.A.
7uz8	H	L	A	N.A.	N.A.	N.A.	N.A.
7uz9	H	L	A	N.A.	N.A.	N.A.	N.A.
7uzb	H	L	A	N.A.	N.A.	N.A.	N.A.
7uzc	H	L	A	N.A.	N.A.	N.A.	N.A.
7uzd	H	L	A	N.A.	N.A.	N.A.	N.A.
7v23	O	P	A	N.A.	N.A.	N.A.	N.A.
7v24	H	L	A	N.A.	N.A.	N.A.	N.A.
7v26	a	b	A	N.A.	N.A.	N.A.	N.A.
7v27	B	A	C	N.A.	N.A.	N.A.	N.A.
7v2a	E	D	A	0.001	SPR	N.A.	N.A.
7v3h	K	L	B	N.A.	N.A.	N.A.	N.A.
7v3l	D	E	A	N.A.	N.A.	N.A.	N.A.
7v5j	E	D	A	N.A.	N.A.	N.A.	N.A.
7v5k	E	D	A	N.A.	N.A.	N.A.	N.A.
7v61	H	K	B	30.5	BLI	N.A.	N.A.
7v6n	E	D	A	N.A.	N.A.	N.A.	N.A.
7v6o	E	D	A	N.A.	N.A.	N.A.	N.A.
7vad	H	L	A	N.A.	N.A.	N.A.	N.A.
7vae	H	L	A	N.A.	N.A.	N.A.	N.A.
7vaf	H	L	A	N.A.	N.A.	N.A.	N.A.
7vag	H	L	A	N.A.	N.A.	N.A.	N.A.
7vfa	D	N.A.	E	2.43	BLI	N.A.	N.A.
7vfb	B	N.A.	A	0.46	BLI	N.A.	N.A.
7vgr	D	C	A;B	N.A.	N.A.	N.A.	N.A.
7vgs	D	C	A;B	N.A.	N.A.	N.A.	N.A.
7vke	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7vmu	A	N.A.	B	4.06	SPR	N.A.	N.A.
7vn9	H	L	E	2.9	SPR	298	N.A.
7vnb	A	N.A.	B	N.A.	N.A.	N.A.	N.A.
7vnc	V	N.A.	C	N.A.	N.A.	N.A.	N.A.
7vnd	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7vne	U	N.A.	A	63.8	BLI	303	N.A.
7vng	H	L	D	0.2	SPR	298	N.A.
7voa	A	N.A.	B	2.3	SPR	298	important KD data paper
7vq0	E	N.A.	B	6.39	BLI	303	important KD data paper
7vux	H	L	A	N.A.	N.A.	N.A.	N.A.
7vyr	H	L	R	177	BLI	N.A.	N.A.
7vyt	H	L	A;T	2.2	BLI	N.A.	N.A.
7vzt	B	C	A	N.A.	N.A.	N.A.	N.A.
7w1s	B	N.A.	A	0.0674	SPR	N.A.	N.A.
7w71	H	L	A	N.A.	N.A.	N.A.	N.A.
7w9e	D	E	C	N.A.	N.A.	N.A.	N.A.
7w9f	A	B	E	N.A.	N.A.	N.A.	N.A.
7wb5	H	L	R	N.A.	N.A.	N.A.	N.A.
7wbh	U	V	A	N.A.	N.A.	N.A.	N.A.
7wbz	H	L	A	9.85	SPR	298	N.A.
7wcd	A	B	C;H	N.A.	N.A.	N.A.	N.A.
7wch	H	L	B	N.A.	N.A.	N.A.	N.A.
7wck	A	B	R	N.A.	N.A.	N.A.	N.A.
7wcp	H	L	A	N.A.	N.A.	N.A.	N.A.
7wcr	a	b	A	<0.001	BLI	N.A.	N.A.
7wcu	A	B	R	N.A.	N.A.	N.A.	N.A.
7wcz	a	b	A	N.A.	N.A.	N.A.	N.A.
7wd0	a	b	A	N.A.	N.A.	N.A.	N.A.
7wd1	D	N.A.	A	N.A.	SPR	298	no k_off determined
7wd2	C	N.A.	A	0.18	SPR	298	N.A.
7wd7	a	b	A	N.A.	N.A.	N.A.	N.A.
7wd9	I	J	A	3.6	BLI	N.A.	N.A.
7wdf	F	G	B	3.6	BLI	N.A.	N.A.
7we7	J	M	E	N.A.	N.A.	N.A.	N.A.
7we9	H	J	A	N.A.	N.A.	N.A.	N.A.
7wea	H	L	A	N.A.	N.A.	N.A.	N.A.
7web	H	L	B	N.A.	N.A.	N.A.	N.A.
7wec	H	L	A	N.A.	N.A.	N.A.	N.A.
7wed	H	L	E	N.A.	N.A.	N.A.	N.A.
7wee	H	L	E	N.A.	N.A.	N.A.	N.A.
7wef	C	L	E	N.A.	N.A.	N.A.	N.A.
7wg3	E	A	I	11	BLI	N.A.	KD = 35 nM for humanized Ab (D9)
7wgd	H	L	A	N.A.	N.A.	N.A.	Ab is essential for crystalizing
7wgt	H	L	A	N.A.	N.A.	N.A.	N.A.
7wh8	B	A	C	0.169	SPR	N.A.	N.A.
7whb	D	E	A	0.169	SPR	N.A.	N.A.
7whd	G	H	A	0.169	SPR	N.A.	N.A.
7whi	F	N.A.	A	0.4*	BLI	303	N.A.
7whi	G	N.A.	A;B	0.4*	BLI	303	N.A.
7whj	E	N.A.	B	0.4*	BLI	303	N.A.
7whj	F	N.A.	B;C	0.4*	BLI	303	N.A.
7whk	G	N.A.	A	0.4*	BLI	303	N.A.
7whk	D	N.A.	C	0.4*	BLI	303	N.A.
7whz	B	D	A	N.A.	N.A.	N.A.	N.A.
7whz	C	E	A	N.A.	N.A.	N.A.	N.A.
7whz	H	L	A	N.A.	N.A.	N.A.	N.A.
7wi0	B	D	A	5.1	SPR	N.A.	N.A.
7wi0	C	E	A	0.8	SPR	N.A.	N.A.
7wi0	H	L	A	0.01	SPR	N.A.	N.A.
7wjy	B	C	A	3.16	BLI	N.A.	N.A.
7wjz	A	C	B	3.16	BLI	N.A.	N.A.
7wk0	A	B	C	3.16	BLI	N.A.	N.A.
7wk9	a	b	B	N.A.	N.A.	N.A.	N.A.
7wka	a	b	B	N.A.	N.A.	N.A.	N.A.
7wki	B	N.A.	A	0.00171	SPR	298	N.A.
7wkx	B	D	E	0.00273	SPR	298	N.A.
7wlc	H	L	E	N.A.	N.A.	N.A.	N.A.
7wlw	H	L	A	N.A.	N.A.	N.A.	N.A.
7wly	P	O	B	N.A.	N.A.	N.A.	N.A.
7wm0	H	L	B	N.A.	N.A.	N.A.	N.A.
7wn0	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7wn1	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7wn2	H	L	R	2.6	BLI	N.A.	important KD data paper
7wn8	H	L	A	6.9	SPR	298	KD = 3.6 nM for pH 6.8
7wnb	H	L	R	2.5	BLI	N.A.	N.A.
7wo4	F	G	A	4.12	BLI	N.A.	N.A.
7wo5	F	G	A	4.12	BLI	N.A.	N.A.
7wo7	A	B	C	4.12	BLI	N.A.	N.A.
7woa	F	G	C	47.31	BLI	N.A.	N.A.
7wob	D	B	A	47.31	BLI	N.A.	N.A.
7woc	A	B	C	47.31	BLI	N.A.	N.A.
7wog	A	B	C	11.44	BLI	N.A.	N.A.
7won	H	L	F	0.0268	SPR	N.A.	important KD data paper
7wop	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7wop	C	N.A.	A	106.8	BLI	N.A.	N.A.
7woq	D	N.A.	B	N.A.	N.A.	N.A.	N.A.
7wor	D	N.A.	B	N.A.	N.A.	N.A.	N.A.
7wor	E	N.A.	B	106.8	BLI	N.A.	N.A.
7wos	D	N.A.	B	N.A.	N.A.	N.A.	N.A.
7wos	E	N.A.	B	106.8	BLI	N.A.	N.A.
7wou	D	N.A.	B	N.A.	N.A.	N.A.	N.A.
7wou	E	N.A.	B	106.8	BLI	N.A.	N.A.
7wov	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7wov	E	N.A.	A	106.8	BLI	N.A.	N.A.
7wow	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7wow	E	N.A.	A	106.8	BLI	N.A.	N.A.
7wp0	H	L	F	N.A.	N.A.	N.A.	N.A.
7wp1	H	L	F	0.02	SPR	N.A.	N.A.
7wp2	H	L	F	0.0229	SPR	N.A.	N.A.
7wp5	H	L	F	0.722	SPR	N.A.	N.A.
7wp6	B	I	F	N.A.	N.A.	N.A.	N.A.
7wp6	D	C	F	N.A.	N.A.	N.A.	N.A.
7wp6	H	L	F	N.A.	N.A.	N.A.	N.A.
7wp8	D	C	F	N.A.	N.A.	N.A.	N.A.
7wp8	E	G	F	N.A.	N.A.	N.A.	N.A.
7wp8	H	L	F	N.A.	N.A.	N.A.	N.A.
7wpd	X	Y	A	3.2	BLI	N.A.	N.A.
7wpe	U	V	A	3.2	BLI	N.A.	N.A.
7wpf	X	Y	A	3.2	BLI	N.A.	N.A.
7wph	H	L	B	4.14	BLI	N.A.	N.A.
7wqv	B	N.A.	A	0.24	BLI	303	N.A.
7wr8	A	B	R	N.A.	N.A.	N.A.	N.A.
7wr9	A	B	F	N.A.	N.A.	N.A.	N.A.
7wrj	A	B	R	N.A.	N.A.	N.A.	N.A.
7wrl	A	B	R	N.A.	N.A.	N.A.	N.A.
7wro	H	L	R	N.A.	N.A.	N.A.	N.A.
7wrv	U	V	C	3.2	BLI	N.A.	N.A.
7wry	H	L	R	N.A.	N.A.	N.A.	N.A.
7wrz	H	L	R	0.29	BLI	N.A.	N.A.
7ws0	G	F	B	2.28	BLI	N.A.	N.A.
7ws1	G	F	B	2.28	BLI	N.A.	N.A.
7ws2	E	D	A	0.233	BLI	N.A.	N.A.
7ws3	G	F	B	2.28	BLI	N.A.	N.A.
7ws5	E	D	A	2.28	BLI	N.A.	N.A.
7ws6	I	H	C	8.97	BLI	N.A.	N.A.
7ws7	G	F	B	0.233	BLI	N.A.	N.A.
7wsc	H	L	R	N.A.	N.A.	N.A.	N.A.
7wsi	H	L	A	N.A.	N.A.	N.A.	N.A.
7wsl	H	L	D	0.3	SPR	N.A.	N.A.
7wt7	H	D	C	N.A.	N.A.	N.A.	N.A.
7wt8	J	I	A	N.A.	N.A.	N.A.	N.A.
7wt9	H	A	E	N.A.	N.A.	N.A.	N.A.
7wtf	H	L	B	2.7	BLI	N.A.	N.A.
7wtg	H	L	E	2.7	BLI	N.A.	N.A.
7wth	H	L	E	1.4	BLI	N.A.	N.A.
7wti	H	L	A	1.4	BLI	N.A.	N.A.
7wtj	H	L	E	1.3	BLI	N.A.	N.A.
7wtk	H	L	C	1.3	BLI	N.A.	N.A.
7wue	C	D	A;B	4.66	BLI	N.A.	N.A.
7wuh	K	L	A	4.66	BLI	N.A.	N.A.
7wui	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7wui	S	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7wuj	S	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7wur	E	F	A	N.A.	N.A.	N.A.	N.A.
7wvf	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7wvl	H	L	F	1.75	BLI	N.A.	N.A.
7wvm	A	B	E	1.68	SPR	N.A.	N.A.
7wwi	E	D	A	N.A.	N.A.	N.A.	N.A.
7wwj	G	F	B	N.A.	N.A.	N.A.	N.A.
7wwk	G	F	B	N.A.	N.A.	N.A.	N.A.
7wwl	H	L	B;C	1.91	SPR	N.A.	important KD data paper
7wwm	H	L	A	4.21	SPR	N.A.	N.A.
7x08	H	L	A;B	1.02	SPR	N.A.	important KD data paper
7x1m	A	B	M	0.9	SPR	298	important KD data paper
7x1m	C	D	M	6.1	SPR	298	N.A.
7x1m	H	L	M	2.6	SPR	298	N.A.
7x25	A	C	G	4.6	SPR	N.A.	N.A.
7x26	H	K	I	N.A.	N.A.	N.A.	N.A.
7x28	C	D	F	4.6	SPR	N.A.	N.A.
7x29	H	K	B	4.6	SPR	N.A.	N.A.
7x2a	H	K	A	4.6	SPR	N.A.	N.A.
7x2h	A	B	E	4.21	BLI	N.A.	N.A.
7x2i	H	L	B	N.A.	N.A.	N.A.	N.A.
7x2j	B	N.A.	S	N.A.	N.A.	N.A.	N.A.
7x2k	B	N.A.	E	N.A.	N.A.	N.A.	N.A.
7x2k	H	L	E	N.A.	N.A.	N.A.	N.A.
7x2l	B	N.A.	E	N.A.	N.A.	N.A.	N.A.
7x2m	B	N.A.	E	N.A.	N.A.	N.A.	N.A.
7x2o	H	L	B	13.8	SPR	N.A.	N.A.
7x3c	H	L	A;B;C	2.1	SPR	N.A.	N.A.
7x3c	F	E	B	22.6	SPR	N.A.	N.A.
7x3d	H	L	B;C	509	SPR	N.A.	N.A.
7x46	H	L	B	N.A.	N.A.	N.A.	N.A.
7x47	H	L	B	N.A.	N.A.	N.A.	N.A.
7x4i	E	N.A.	A;D	0.361	SPR	298	N.A.
7x63	H	L	R	N.A.	N.A.	N.A.	N.A.
7x66	H	L	R	N.A.	N.A.	N.A.	N.A.
7x6a	H	L	B	1.3	BLI	N.A.	N.A.
7x7d	B	N.A.	A	0.312	BLI	298	N.A.
7x7e	B	N.A.	C	N.A.	N.A.	N.A.	N.A.
7x7o	H	L	B	N.A.	N.A.	N.A.	N.A.
7x7t	A	B	G	N.A.	N.A.	N.A.	N.A.
7x7t	C	D	G	N.A.	N.A.	N.A.	N.A.
7x7t	H	L	G	N.A.	N.A.	N.A.	N.A.
7x7u	A	B	G	N.A.	N.A.	N.A.	N.A.
7x7u	C	D	G	N.A.	N.A.	N.A.	N.A.
7x7u	H	L	G	N.A.	N.A.	N.A.	N.A.
7x7v	A	F	E	N.A.	N.A.	N.A.	N.A.
7x7v	C	D	E	N.A.	N.A.	N.A.	N.A.
7x7v	H	L	E	N.A.	N.A.	N.A.	N.A.
7x8p	C	B	A	10	ELISA	298	important KD data paper
7x8q	C	B	A	6.22	SPR	N.A.	N.A.
7x8t	C	B	A	8.77	SPR	N.A.	N.A.
7x8w	H	L	A	0.00534	SPR	N.A.	N.A.
7x8y	H	L	A	N.A.	N.A.	N.A.	N.A.
7x8z	H	L	A	N.A.	N.A.	N.A.	N.A.
7x90	E	F	G	0.0346	SPR	N.A.	N.A.
7x91	H	L	A	0.152	SPR	N.A.	N.A.
7x92	H	L	A	N.A.	N.A.	N.A.	N.A.
7x93	E	F	D;G	1.7	BLI	N.A.	N.A.
7x94	H	L	A	<0.001	BLI	N.A.	N.A.
7x95	H	L	A	<0.001	BLI	N.A.	N.A.
7x96	H	L	G	<0.001	BLI	N.A.	N.A.
7xck	A	B	M	1.01	SPR	298	N.A.
7xco	H	L	A	1.01	SPR	298	N.A.
7xcp	H	L	B	1.01	SPR	298	N.A.
7xcz	B	C	A	0.0857	SPR	298	important KD data paper
7xcz	D	E	A	0.186	SPR	298	N.A.
7xd2	I	L	A	4.42	BLI	N.A.	N.A.
7xda	B	C	A	0.0857	SPR	298	N.A.
7xda	D	E	A	0.901	SPR	298	N.A.
7xdb	D	E	A	0.898	SPR	298	N.A.
7xdk	D	E	A	0.186	SPR	298	N.A.
7xdk	F	G	A	0.0857	SPR	298	N.A.
7xdl	I	H	A	0.0857	SPR	298	N.A.
7xdl	M	L	A	0.901	SPR	298	N.A.
7xeg	C	D	A	N.A.	N.A.	N.A.	N.A.
7xei	C	D	A	N.A.	N.A.	N.A.	N.A.
7xh8	B	C	A	0.0575	SPR	N.A.	N.A.
7xic	H	I	A	N.A.	N.A.	N.A.	N.A.
7xik	H	L	A	N.A.	N.A.	N.A.	N.A.
7xil	H	L	A	N.A.	N.A.	N.A.	N.A.
7xj6	E	D	A	N.A.	N.A.	N.A.	N.A.
7xj6	K	J	B	N.A.	N.A.	N.A.	N.A.
7xj8	G	F	B	N.A.	N.A.	N.A.	N.A.
7xj8	K	J	B	N.A.	N.A.	N.A.	N.A.
7xj9	G	F	B	N.A.	N.A.	N.A.	N.A.
7xj9	K	J	B	N.A.	N.A.	N.A.	N.A.
7xjf	A	B	C	4160	SPR	298	N.A.
7xk9	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7xka	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7xld	B	N.A.	A	0.53	SPR	N.A.	important KD data paper
7xli	B	N.A.	A	0.25	SPR	N.A.	N.A.
7xmx	H	I	A	N.A.	N.A.	N.A.	N.A.
7xmz	H	L	C	N.A.	N.A.	N.A.	N.A.
7xnf	H	L	A	1795.75	SPR	298	N.A.
7xod	X	Y	A	2.6	BLI	N.A.	N.A.
7xqv	B	N.A.	A	60.5	SPR	N.A.	N.A.
7xrz	H	L	X	N.A.	N.A.	N.A.	N.A.
7xs8	A	L	E	N.A.	N.A.	N.A.	N.A.
7xsa	B	C	E	N.A.	N.A.	N.A.	N.A.
7xsb	G	I	A	N.A.	N.A.	N.A.	N.A.
7xsc	A	B	E	N.A.	N.A.	N.A.	N.A.
7xst	D	E	A	5.03	SPR	N.A.	N.A.
7xst	F	G	A	0.00545	SPR	N.A.	N.A.
7xsw	H	L	R	0.39	SPR	298	N.A.
7xtp	C	N.A.	A	0.057	SPR	N.A.	N.A.
7xw6	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7xw6	Y	L	R	N.A.	N.A.	N.A.	N.A.
7xw7	A	N.A.	R	N.A.	N.A.	N.A.	N.A.
7xxl	A	C	B	1.18	BLI	N.A.	N.A.
7xy3	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7xy4	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7xy8	H	L	A	8.6	SPR	N.A.	N.A.
7y0c	M	N	E	N.A.	N.A.	N.A.	N.A.
7y0n	E	J	A	N.A.	N.A.	N.A.	N.A.
7y0n	G	N.A.	A	N.A.	N.A.	N.A.	N.A.
7y0o	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7y0o	H	L	A	N.A.	N.A.	N.A.	N.A.
7y0v	H	L	R	N.A.	N.A.	N.A.	N.A.
7y0w	A	B	R	N.A.	N.A.	N.A.	N.A.
7y0w	H	L	R	N.A.	N.A.	N.A.	N.A.
7y1b	H	L	A	N.A.	N.A.	N.A.	N.A.
7y3n	H	L	A	N.A.	N.A.	N.A.	N.A.
7y3o	H	L	A	N.A.	N.A.	N.A.	N.A.
7y58	B	N.A.	A	65	FACS	N.A.	N.A.
7y58	C	N.A.	A	100	FACS	N.A.	N.A.
7y6l	H	L	A	<0.001	BLI	N.A.	N.A.
7y6n	H	L	A	<0.001	BLI	N.A.	N.A.
7y7j	E	D	A	0.077	SPR	N.A.	N.A.
7y7k	B	C	A	0.077	SPR	N.A.	N.A.
7y9t	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7y9u	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7y9v	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yad	C	D	E	N.A.	N.A.	N.A.	N.A.
7yag	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yah	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yai	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yaj	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yar	K	L	B	N.A.	N.A.	N.A.	CA trace only
7yc5	I	F	B;C	N.A.	N.A.	N.A.	N.A.
7yck	C	D	A	N.A.	BLI	N.A.	KD not determined due to avidity effects
7ycl	H	L	D	N.A.	BLI	N.A.	KD not determined due to avidity effects
7ycn	E	F	A	N.A.	BLI	N.A.	KD not determined due to avidity effects
7ycy	F	G	A	N.A.	N.A.	N.A.	N.A.
7ycz	F	G	A	N.A.	N.A.	N.A.	N.A.
7yd0	D	E	A	N.A.	N.A.	N.A.	N.A.
7yd1	A	B	C	N.A.	N.A.	N.A.	N.A.
7ydi	H	L	E	0.8	BLI	298	N.A.
7yds	B	C	A	N.A.	N.A.	N.A.	N.A.
7ye9	H	L	A	0.8	BLI	298	N.A.
7yeg	H	L	A	0.8	BLI	298	N.A.
7yfc	C	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7yfc	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7yfd	C	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7yfd	N	N.A.	A;B	N.A.	N.A.	N.A.	N.A.
7yh6	H	L	A	0.0109	BLI	N.A.	N.A.
7yh7	V	U	A	0.0109	BLI	N.A.	N.A.
7yhk	F	H	A	8.1	SPR	N.A.	N.A.
7yit	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yix	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yk4	H	L	A	4.39	BLI	N.A.	N.A.
7ykj	A	D	C	0.558	SPR	N.A.	N.A.
7ym8	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7ymj	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yms	F	E	A	0.35	BLI	N.A.	N.A.
7yow	H	L	R	4641	BLI	N.A.	N.A.
7yoy	E	I	C	0.39	SPR	303	N.A.
7yoy	F	J	C	0.42	SPR	303	N.A.
7yp1	D	G	A;B	1.93	SPR	303	N.A.
7yp2	H	L	A	6.83	SPR	303	N.A.
7yqx	I	G	A	1.1	SPR	N.A.	BA.2.75 Spike Trimer with S309 (state1)
7yqy	I	G	A	1.1	SPR	N.A.	BA.2.75 Spike Trimer with S309 (state2)
7yqz	I	G	A	1.1	SPR	N.A.	BA.2.75 Spike Trimer with S309 (state3)
7yr0	C	B	A	1.1	SPR	N.A.	BA.2.75 Spike Trimer with S309 (local)
7yr1	H	L	A	N.A.	N.A.	N.A.	BA.2.75 Spike Trimer with XG2v024
7yrf	F	E	C	7.34	BLI	N.A.	N.A.
7yrh	F	E	A	0.35	BLI	N.A.	N.A.
7yru	H	L	A	5.6	SPR	N.A.	N.A.
7ytn	H	L	C	9.4	BLI	N.A.	KD from DOI: 10.1080/19420862.2021.2021601
7yub	N	N.A.	R	N.A.	N.A.	N.A.	N.A.
7yud	N	N.A.	R	N.A.	N.A.	N.A.	N.A.
7yuf	N	N.A.	R	N.A.	N.A.	N.A.	N.A.
7yv1	H	L	A	N.A.	N.A.	N.A.	N.A.
7yv7	F	E	A	0.35	BLI	N.A.	N.A.
7yve	L	K	A	1.86	SPR	N.A.	N.A.
7yvf	C	A	B	0.752	SPR	N.A.	N.A.
7yvg	M	L	A	0.00171	SPR	N.A.	N.A.
7yvh	C	A	B	0.484	SPR	N.A.	N.A.
7yvi	J	H	A	0.602	SPR	N.A.	N.A.
7yvj	C	A	B	0.621	SPR	N.A.	N.A.
7yvk	N	O	A	0.000976	SPR	N.A.	N.A.
7yvl	A	C	B	0.045	SPR	N.A.	N.A.
7yvm	C	A	B	0.00781	SPR	N.A.	N.A.
7yvn	L	K	A	0.199	SPR	N.A.	N.A.
7yvo	I	H	A	0.00171	SPR	N.A.	N.A.
7yvo	M	L	A	1.86	SPR	N.A.	N.A.
7yvp	I	J	A	0.000976	SPR	N.A.	N.A.
7yvp	K	H	A	0.199	SPR	N.A.	N.A.
7yxu	H	L	A	N.A.	N.A.	N.A.	N.A.
7yz9	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yzi	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7yzk	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7z0x	H	L	R	0.255	BLI	303	N.A.
7z0y	H	L	R	0.196	BLI	303	N.A.
7z12	B	C	A	12	ELISA	N.A.	N.A.
7z1a	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7z1a	F	N.A.	A	930	ITC	298	important KD data paper
7z1b	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7z1b	F	N.A.	A	60	ITC	298	KD = 9.25 nM by SPR
7z1c	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
7z1c	F	N.A.	A	53	ITC	298	KD = 8.18 nM by SPR
7z1d	B	N.A.	A	57	ITC	298	KD = 8.20 nM by SPR
7z1e	B	N.A.	A	18	ITC	298	KD = 4.54 nM by SPR
7z1x	B	N.A.	A	0.64	SPR	298	N.A.
7z1x	C	N.A.	A	143	SPR	298	N.A.
7z2m	H	L	I	0.935	SPR	N.A.	Ab mutations
7z4t	H	L	I	N.A.	N.A.	N.A.	N.A.
7z6v	X	N.A.	A	820	ITC	298	N.A.
7z7x	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7z85	D	N.A.	A	N.A.	N.A.	N.A.	N.A.
7z86	X	N.A.	A	21	ITC	298	N.A.
7z9q	E	N.A.	A	N.A.	N.A.	N.A.	N.A.
7z9r	X	N.A.	A	21	ITC	298	N.A.
7zau	B	N.A.	A	25	ELISA	N.A.	N.A.
7zbu	H	L	A	N.A.	N.A.	N.A.	N.A.
7zce	G	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zcf	E	N.A.	C	N.A.	N.A.	N.A.	N.A.
7zf3	A	B	E	1.3	SPR	298	N.A.
7zf3	H	L	E	N.A.	N.A.	N.A.	N.A.
7zf4	F	N.A.	E	N.A.	N.A.	N.A.	N.A.
7zf4	H	L	E	0.99	SPR	298	N.A.
7zf5	G	I	A	0.13	SPR	298	N.A.
7zf5	H	L	E	N.A.	N.A.	N.A.	N.A.
7zf8	H	L	E	N.A.	N.A.	N.A.	N.A.
7zf9	H	L	E	N.A.	N.A.	N.A.	N.A.
7zfa	H	L	A	0.8	SPR	298	N.A.
7zfa	Q	R	A	N.A.	N.A.	N.A.	N.A.
7zfb	A	B	E	N.A.	N.A.	N.A.	N.A.
7zfb	H	L	E	N.A.	N.A.	N.A.	N.A.
7zfb	M	N.A.	E	N.A.	N.A.	N.A.	N.A.
7zfc	A	B	E	N.A.	N.A.	N.A.	N.A.
7zfc	H	L	E	N.A.	N.A.	N.A.	N.A.
7zfc	M	N.A.	E	N.A.	N.A.	N.A.	N.A.
7zfd	H	L	E	N.A.	N.A.	N.A.	N.A.
7zfe	W	N.A.	A	N.A.	N.A.	N.A.	N.A.
7zfe	H	L	E	N.A.	N.A.	N.A.	N.A.
